#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#################
#Black Fog Events
#################

EVTDESCgoshen_black_fog_events.0;You've entered a region choked in black fog and it has begun to affect you.;;;;;;;;;;;;;x
EVTOPTAgoshen_black_fog_events.0;My eyes are burning!;;;;;;;;;;;;;x
EVTDESCAgoshen_black_fog_events.1;The Black Fog Sickness is getting worse.;;;;;;;;;;;;;x
EVTDESCBgoshen_black_fog_events.1;The Black Fog Sickness is getting better.;;;;;;;;;;;;;x
EVTOPTAgoshen_black_fog_events.1;It burns!;;;;;;;;;;;;;x

###############
#Medicus Events
###############

EVTDESCAgoshen_medicus_events.1;You've found out you have Malaise.;;;;;;;;;;;;;x
EVTDESCBgoshen_medicus_events.1;You've found out you have Red Fever.;;;;;;;;;;;;;x
EVTDESCCgoshen_medicus_events.1;You've found out you have Red Plague.;;;;;;;;;;;;;x
EVTDESCDgoshen_medicus_events.1;You've found out you have Shigella.;;;;;;;;;;;;;x
EVTDESCEgoshen_medicus_events.1;You've found out you have Hansen.;;;;;;;;;;;;;x
EVTDESCFgoshen_medicus_events.1;You've found out you have Delusia.;;;;;;;;;;;;;x
EVTDESCGgoshen_medicus_events.1;You've found out you have The Sickness.;;;;;;;;;;;;;x
EVTDESCHgoshen_medicus_events.1;You've found out you have Plaga.;;;;;;;;;;;;;x
EVTOPTAgoshen_medicus_events.1;I see, well atleast I know.;;;;;;;;;;;;;x
EVTDESCAgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has Malaise.;;;;;;;;;;;;;x
EVTDESCBgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has Red Fever.;;;;;;;;;;;;;x
EVTDESCCgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has Red Plague.;;;;;;;;;;;;;x
EVTDESCDgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has Shigella.;;;;;;;;;;;;;x
EVTDESCEgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has Hansen.;;;;;;;;;;;;;x
EVTDESCFgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has Delusia.;;;;;;;;;;;;;x
EVTDESCGgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has The Sickness.;;;;;;;;;;;;;x
EVTDESCHgoshen_medicus_events.11;Your Medicus informs you that [From.GetFirstName] has Plaga.;;;;;;;;;;;;;x
EVTOPTAgoshen_medicus_events.11;I see, well atleast I know.;;;;;;;;;;;;;x

###################
#Illness Events
###################

EVTDESCAgoshen_illness_events.1;You have a scratchy throat, runny nose, and nagging cough, it seems you are sick;;;;;;;;;;;;;x
EVTDESCBgoshen_illness_events.1;You have nearly unending disruptive coughing fits, nightsweats, and burn with fever it seems you are very sick;;;;;;;;;;;;;x
EVTDESCCgoshen_illness_events.1;Your wound has festered, oozing pus and the skin around it has darkened in color. now you suffer from nightsweats, and a burning fever it seems you are very sick.;;;;;;;;;;;;;x
EVTOPTAgoshen_illness_events.1;Damn.;;;;;;;;;;;;;x
EVTDESCAgoshen_illness_events.11;[From.GetFirstName] has taken ill.;;;;;;;;;;;;;x
EVTOPTAgoshen_illness_events.11;Send for the Medicus!;;;;;;;;;;;;;x
EVTOPTBgoshen_illness_events.11;I'm sure it's nothing...;;;;;;;;;;;;;x
EVTDESCgoshen_illness_events.10;Your coughing hasn't abated, you suffer terrible fevers, and your sheets are soaked with sweat everynight. Your illness has progressed.;;;;;;;;;;;;;x
EVTOPTAgoshen_illness_events.10;I'm dying!;;;;;;;;;;;;;x
EVTDESCgoshen_illness_events.20;Your coughing hasn't abated, but you don't seem any worse than usual.;;;;;;;;;;;;;x
EVTOPTAgoshen_illness_events.20;I'm dying I tell you!!;;;;;;;;;;;;;x
EVTDESCgoshen_illness_events.30;Your coughing fits have lessened of late and you are not as feverish as you used to be. You seem to be getting better.;;;;;;;;;;;;;x
EVTOPTAgoshen_illness_events.30;Thank [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x

###################
#Injury Events
###################

EVTDESCAgoshen_injury_events.1;You have a nagging pain when you try and walk or work, it seems you are hurt.;;;;;;;;;;;;;x
EVTDESCBgoshen_injury_events.1;You have nearly unending disruptive pain that makes it very difficult, it seems you are very hurt.;;;;;;;;;;;;;x
EVTDESCCgoshen_injury_events.1;You have a festering open wound, pain shooting through your body, and dizzy spells, you are in trouble.;;;;;;;;;;;;;x
EVTOPTAgoshen_injury_events.1;Damn.;;;;;;;;;;;;;x
EVTDESCAgoshen_injury_events.11;[From.GetFirstName] has been injured.;;;;;;;;;;;;;x
EVTOPTAgoshen_injury_events.11;Send for the Medicus!;;;;;;;;;;;;;x
EVTOPTBgoshen_injury_events.11;I'm sure it's nothing...;;;;;;;;;;;;;x
EVTDESCgoshen_injury_events.10;Your pain has noticably increased and the wound is festering, your injury has grown worse.;;;;;;;;;;;;;x
EVTOPTAgoshen_injury_events.10;I'm dying!;;;;;;;;;;;;;x
EVTDESCgoshen_injury_events.20;Your pain is more or less the same so you don't seem any worse than usual.;;;;;;;;;;;;;x
EVTOPTAgoshen_injury_events.20;I'm dying I tell you!!;;;;;;;;;;;;;x
EVTDESCgoshen_injury_events.30;Your pain has lessed lessened of late and the sores are less oozy. You seem to be getting better.;;;;;;;;;;;;;x
EVTOPTAgoshen_injury_events.30;Thank [Root.Religion.GetRandomGodName]!;;;;;;;;;;;;;x

###################
#Maintenance Events
###################

EVTDESCgoshen_maintenance_events.10;[From.GetFirstName] has passed on, Joining Inn-z in the Underverse.;;;;;;;;;;;;;x
EVTOPTAgoshen_maintenance_events.10;"May Maku remove [From.GetHerHis] worldly burdens.";;;;;;;;;;;;;x

###################
#Story Events
###################

###################
#Personality Events
###################

EVTDESCgoshen_personality_events.10;You are out in the court playing when a stranger approaches you, "Child, take me to court, I've important business.";;;;;;;;;;;;;x
EVTOPTAgoshen_personality_events.10;Alright!;;;;;;;;;;;;;x
EVTOPTBgoshen_personality_events.10;Who are you?;;;;;;;;;;;;;x
EVTOPTCgoshen_personality_events.10;No, go away!;;;;;;;;;;;;;x
EVTDESCgoshen_personality_events.11;[From.GetFirstName] has reached schooling age and can receive a special education.;;;;;;;;;;;;;x
EVTOPTAgoshen_personality_events.11;[From.GetSheHe] would do well as a commmander.;;;;;;;;;;;;;x
EVTOPTBgoshen_personality_events.11;I see a spark of politics in [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTCgoshen_personality_events.11;[From.GetFirstName] loves finance.;;;;;;;;;;;;;x
EVTOPTDgoshen_personality_events.11;What do I care?;;;;;;;;;;;;;x
EVTDESCgoshen_personality_events.12;Congratulations, you have completed your education.;;;;;;;;;;;;;x
EVTOPTAgoshen_personality_events.12;I wonder what kind of Marshal I'll make.;;;;;;;;;;;;;x
EVTOPTBgoshen_personality_events.12;I'll rise in court quickly, I'm sure of it.;;;;;;;;;;;;;x
EVTOPTCgoshen_personality_events.12;Penes, Lii, Harks, and Hazah, money makes the world go round.;;;;;;;;;;;;;x
EVTOPTDgoshen_personality_events.12;What mark shall I make on the world?;;;;;;;;;;;;;x
EVTDESCgoshen_personality_events.20;Another child comes up to you at court, "Want to skip lessons and go with us?";;;;;;;;;;;;;x
EVTOPTAgoshen_personality_events.20;No, we have to study.;;;;;;;;;;;;;x
EVTOPTBgoshen_personality_events.20;can it wait until after studies?;;;;;;;;;;;;;x
EVTOPTCgoshen_personality_events.20;Absolutely, let's go!;;;;;;;;;;;;;x
