#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Province Names
PROV1;West Kauni Forest;;;;;;;;;;;;;x
PROV2;South Kauni;;;;;;;;;;;;;x
PROV3;South Kauni Forest;;;;;;;;;;;;;x
PROV4;Central Kauni;;;;;;;;;;;;;x
PROV5;North Kauni;;;;;;;;;;;;;x
PROV6;East Kauni Forest;;;;;;;;;;;;;x
PROV7;South Insol;;;;;;;;;;;;;x
PROV8;East Insol;;;;;;;;;;;;;x
PROV9;West Insol;;;;;;;;;;;;;x
PROV10;North Trovo;;;;;;;;;;;;;x
PROV11;Central Trovo;;;;;;;;;;;;;x
PROV12;South Trovo;;;;;;;;;;;;;x
PROV13;Southwest Ko;;;;;;;;;;;;;x
PROV14;Southeast Ko;;;;;;;;;;;;;x
PROV15;North Ko;;;;;;;;;;;;;x
PROV16;Anin Ko Coast;;;;;;;;;;;;;x
PROV17;West S.W. Anin Plains;;;;;;;;;;;;;x
PROV18;South S.W. Anin Plains;;;;;;;;;;;;;x
PROV19;West S. Anin Plains;;;;;;;;;;;;;x
PROV20;North W. Daly Mountains;;;;;;;;;;;;;x
PROV21;South Anin Plains;;;;;;;;;;;;;x
PROV22;East S. Anin Plains;;;;;;;;;;;;;x
PROV23;West S.E. Anin Plains;;;;;;;;;;;;;x
PROV24;South S.E. Anin Plains;;;;;;;;;;;;;x
PROV25;West Daly Mountains;;;;;;;;;;;;;x
PROV26;Southwest Anin Plains;;;;;;;;;;;;;x
PROV27;Southwest S.W. Anin Plains;;;;;;;;;;;;;x
PROV28;North C. Anin Ko Coast;;;;;;;;;;;;;x
PROV29;South C. Anin Ko Coast;;;;;;;;;;;;;x
PROV30;North S.W. Anin Plains;;;;;;;;;;;;;x
PROV31;South C. Anin Plains;;;;;;;;;;;;;x
PROV32;Southwest C. Anin Plains;;;;;;;;;;;;;x
PROV33;Southeast C. Anin Plains;;;;;;;;;;;;;x
PROV34;Southeast Anin Plains;;;;;;;;;;;;;x
PROV35;Central Vitat Canyon;;;;;;;;;;;;;x
PROV36;Northwest S.W. Anin Plains;;;;;;;;;;;;;x
PROV37;Central Anin Plains;;;;;;;;;;;;;x
PROV38;North S.E. Anin Plains;;;;;;;;;;;;;x
PROV39;Northeast S.E. Anin Plains;;;;;;;;;;;;;x
PROV40;Northwest S.E. Anin Plains;;;;;;;;;;;;;x
PROV41;South Anin Ko Coast;;;;;;;;;;;;;x
PROV42;North Anin Ko Coast;;;;;;;;;;;;;x
PROV43;Northwest C. Anin Plains;;;;;;;;;;;;;x
PROV44;South N.E. Anin Plains;;;;;;;;;;;;;x
PROV45;North C. Anin Plains;;;;;;;;;;;;;x
PROV46;East S. Majat Mountains;;;;;;;;;;;;;x
PROV47;Blav;;;;;;;;;;;;;x
PROV48;Blav Approach;;;;;;;;;;;;;x
PROV49;North Ades Coast;;;;;;;;;;;;;x
PROV50;East Zalv Forest;;;;;;;;;;;;;x
PROV51;West Zalv Forest;;;;;;;;;;;;;x
PROV52;Southeast Zalv Forest;;;;;;;;;;;;;x
PROV53;Southwest N. Anin Plains;;;;;;;;;;;;;x
PROV54;Southwest N.E. Anin Plains;;;;;;;;;;;;;x
PROV55;South N. Vitat Canyon;;;;;;;;;;;;;x
PROV56;Southwest Zalv Forest;;;;;;;;;;;;;x
PROV57;West Ades Plains;;;;;;;;;;;;;x
PROV58;East Ades Plains;;;;;;;;;;;;;x
PROV59;West E. Ades Plains;;;;;;;;;;;;;x
PROV60;West N.E. Anin Plains;;;;;;;;;;;;;x
PROV61;Northeast Anin Plains;;;;;;;;;;;;;x
PROV62;Southeast N. Anin Plains;;;;;;;;;;;;;x
PROV63;Central Ades Plains;;;;;;;;;;;;;x
PROV64;South W. Ades Plains;;;;;;;;;;;;;x
PROV65;South Ades Coast;;;;;;;;;;;;;x
PROV66;Mount Koryfi;;;;;;;;;;;;;x
PROV67;East C. Ades Plains;;;;;;;;;;;;;x
PROV68;North Anin Plains;;;;;;;;;;;;;x
PROV69;Northwest N.E. Anin Plains;;;;;;;;;;;;;x
PROV70;South E. Ades Plains;;;;;;;;;;;;;x
PROV71;West C. Ades Plains;;;;;;;;;;;;;x
PROV72;North N.E. Anin Plains;;;;;;;;;;;;;x
PROV73;Northeast N. Anin Plains;;;;;;;;;;;;;x
PROV74;West N. Anin Plains;;;;;;;;;;;;;x
PROV75;East N. Anin Coast;;;;;;;;;;;;;x
PROV76;Central N. Anin Coast;;;;;;;;;;;;;x
PROV77;North Anin Coast;;;;;;;;;;;;;x
PROV78;West N. Anin Coast;;;;;;;;;;;;;x
PROV79;East Pan Cliffs;;;;;;;;;;;;;x
PROV80;West Navo Coast;;;;;;;;;;;;;x
PROV81;Navo's Mouth;;;;;;;;;;;;;x
PROV82;North E. Navo Desert;;;;;;;;;;;;;x
PROV83;East E. Navo Desert;;;;;;;;;;;;;x
PROV84;West E. Daly Mountains;;;;;;;;;;;;;x
PROV85;West Rannu River;;;;;;;;;;;;;x
