#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###########
#Educations
###########

#Diplomats
agent;Agent;;;;;;;;;;;;;x
agent_desc;A low level diplomat.;;;;;;;;;;;;;x
mediator;Mediator;;;;;;;;;;;;;x
mediator_desc;A mid level diplomat.;;;;;;;;;;;;;x
minister;Minister;;;;;;;;;;;;;x
minister_desc;A high level diplomat.;;;;;;;;;;;;;x
emissary;Emissary;;;;;;;;;;;;;x
emissary_desc;A master level diplomat.;;;;;;;;;;;;;x

#Officers
soldier;Soldier;;;;;;;;;;;;;x
soldier_desc;A low level officer.;;;;;;;;;;;;;x
tactician;Tactician;;;;;;;;;;;;;x
tactician_desc;A mid level officer.;;;;;;;;;;;;;x
clever_strategist;Strategist;;;;;;;;;;;;;x
clever_strategist_desc;A high level officer.;;;;;;;;;;;;;x
mastermind;Mastermind;;;;;;;;;;;;;x
mastermind_desc;A master level officer.;;;;;;;;;;;;;x

#Stewards
clerk;Clerk;;;;;;;;;;;;;x
clerk_desc;A low level steward.;;;;;;;;;;;;;x
entrepreneur;Entrepreneur;;;;;;;;;;;;;x
entrepreneur_desc;A mid level steward.;;;;;;;;;;;;;x
financier;Financier;;;;;;;;;;;;;x
financier_desc;A high level steward.;;;;;;;;;;;;;x
mogul;Mogul;;;;;;;;;;;;;x
mogul_desc;A master level steward.;;;;;;;;;;;;;x

#Spies
rascal;Rascal;;;;;;;;;;;;;x
rascal_desc;A low level spy.;;;;;;;;;;;;;x
rogue;Rogue;;;;;;;;;;;;;x
rogue_desc;A mid level spy.;;;;;;;;;;;;;x
schemer;Schemer;;;;;;;;;;;;;x
schemer_desc;A high level spy.;;;;;;;;;;;;;x
conspirator;Conspirator;;;;;;;;;;;;;x
conspirator_desc;A master level spy.;;;;;;;;;;;;;x

#Academics
thinker;Thinker;;;;;;;;;;;;;x
thinker_desc;A low level academic.;;;;;;;;;;;;;x
intellectual;Intellectual;;;;;;;;;;;;;x
intellectual_desc;A mid level academic.;;;;;;;;;;;;;x
scholar;Scholar;;;;;;;;;;;;;x
scholar_desc;A high level academic.;;;;;;;;;;;;;x
sage;Sage;;;;;;;;;;;;;x
sage_desc;A master level academic.;;;;;;;;;;;;;x

#Combat Prowess
noncombatant;Noncombatant;;;;;;;;;;;;;x
